sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
TC0005_AddNewEvents:/logout,20,25,16,47,7,110,0.0,2.3073373327180433,2.9314901072911863
TC0004_UpdatePlanDetails:/,20,11,10,22,5,28,0.0,1.9219680953296174,2.4418754804920235
TC0008_AddNewGoals:/plan?wicket:interface=:1:indicator:big-form:sg-editor:mo:aspect:goalsDiv:goal:0:category::IBehaviorListener:0:-1&random=0.7321752379604155,20,324,19,1145,5,1930,0.0,0.7990411506192568,0.03733800689172992
TC0014_UpdateTransmissionMedia:/login.do,20,5651,6887,7211,425,7267,0.0,1.9557989438685706,50.299653609671424
TC0010_AddFlow:/plan?wicket:interface=:1:indicator:big-form:segment:receives:flows-div:flows:0:flow:other:secondChoice:secondChoice-input::IBehaviorListener:0:-1&random=0.829941064898804,20,39,8,16,4,601,0.0,0.4897879218298477,1.7541964876083656
TC0006_AddNewOrg:/plan?wicket:interface=:1:indicator:big-form:plan:mo:aspect:tabs:panel:newInvolvedContainer:newInvolved::IBehaviorListener:0:-1&random=0.12481855407133524,20,13,6,40,4,55,0.0,1.9288263091908573,0.13938783875012056
TC0008_AddNewGoals:/plan?wicket:interface=:1:indicator:big-form:sg-editor:mo:aspect:goalsDiv:goal:0:organization:name::IBehaviorListener:0:-1&random=0.047894925781012065,20,521,9,447,4,7929,0.0,0.7159989976014033,2.188971154190384
TC0006_AddNewOrg:/logout,20,23,11,37,7,107,0.0,1.9083969465648853,2.424633229961832
TC0008_AddNewGoals:/plan?wicket:interface=:1:indicator:big-form:sg-editor:mo:aspect:goalsDiv:goal:0:endsWithSegment::IBehaviorListener:0:-1&random=0.14848660448390094,20,150,21,202,4,1769,0.0,0.6065384848668648,0.6262628320798205
TC0010_AddFlow:/logout,20,15,10,18,8,86,0.0,0.48443744701465424,0.615481561099673
TC0008_AddNewGoals:/logout,20,76,18,175,7,404,0.0,0.5333048904058451,0.6775680297050823
TC0010_AddFlow:/,20,12,6,15,4,91,0.0,0.484320135609638,0.6153325160431045
TC0008_AddNewGoals:/,20,18,8,58,5,81,0.0,0.533447135388883,0.6777487530673211
TC0013_UpdatePlace:/login.do,20,4039,2528,10446,646,10724,0.0,1.7757258279321673,45.66762782451389
TC0012_UpdateAgent:/login.do,20,6760,7428,9774,1761,10490,0.0,1.7681902572716826,45.47391643090796
TC0011_UpdatePhase:/login.do,20,8091,7675,10508,2379,10611,0.0,1.7365633411478685,44.660542567508905
