Sample#,Start time,Thread name,Label,SampleTime,Status,Bytes
1084,51:30.9,TC0003_PlannerC 3-12,/plan,4686,Success,99839
1085,51:29.1,TC0002_PlannerB 2-9,/plan,6516,Success,103829
1086,51:29.8,TC0002_PlannerB 2-2,/plan,5850,Success,101803
1087,51:28.5,TC0001_PlannerA 1-19,/plan,7227,Success,99900
1088,51:31.4,TC0002_PlannerB 2-3,/plan,4327,Success,103768
1089,51:30.2,TC0003_PlannerC 3-11,/plan,5541,Success,99838
1090,51:30.9,TC0003_PlannerC 3-6,/plan,4785,Success,99839
1091,51:30.9,TC0003_PlannerC 3-7,/plan,4854,Success,101803
1092,51:35.4,TC0003_PlannerC 3-13,/plan,342,Success,9
1093,51:35.6,TC0001_PlannerA 1-15,/plan,295,Success,88
1094,51:35.7,TC0003_PlannerC 3-6,/plan,209,Success,88
1095,51:29.3,TC0002_PlannerB 2-18,/plan,6592,Success,103764
1096,51:32.1,TC0001_PlannerA 1-7,/plan,3838,Success,99841
1097,51:35.6,TC0002_PlannerB 2-9,/plan,334,Success,0
1098,51:35.7,TC0002_PlannerB 2-3,/plan,247,Success,9
1099,51:35.6,TC0003_PlannerC 3-12,/plan,352,Success,88
1100,51:35.7,TC0003_PlannerC 3-11,/plan,272,Success,88
1101,51:35.7,TC0001_PlannerA 1-19,/plan,294,Success,9
1102,51:34.4,TC0001_PlannerA 1-10,/plan,1597,Success,99839
1103,51:35.4,TC0003_PlannerC 3-9,/plan,586,Success,9
1104,51:35.6,TC0002_PlannerB 2-2,/plan,380,Success,9
1105,51:35.9,TC0001_PlannerA 1-7,/plan,116,Success,88
1106,51:35.4,TC0002_PlannerB 2-4,/plan,678,Success,9
1107,51:35.9,TC0002_PlannerB 2-18,/plan,127,Success,9
1108,51:35.9,TC0002_PlannerB 2-9,/plan,102,Success,0
1109,51:35.8,TC0003_PlannerC 3-13,/plan,278,Success,9
1110,51:36.0,TC0001_PlannerA 1-10,/plan,53,Success,88
1111,51:36.0,TC0001_PlannerA 1-19,/plan,74,Success,9
1112,51:35.8,TC0003_PlannerC 3-7,/plan,289,Success,88
